*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Oct 18, 2016; 16:14:02

*RUN   1        : SIMPLE TEMPLAT EXPERIMEN
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : SANT7001 MZ                                                   
 TREATMENT  1   : SIMPLE TEMPLAT EXPERIMEN

@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   CWAD   G#AD   GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD   LN%D   SH%D   HIPD   PWDD   PWTD     SLAD   CHTD   CWID   RDPD   RL1D   RL2D   RL3D   RL4D   RL5D   RL6D   RL7D   RL8D   RL9D   RL10   CDAD   LDAD   SDAD   SNW0C   SNW1C
 1970 356   128    68   18.0      3   2.19   2469   1746      0   2736   4215      0    0.0  0.000      0      0  0.667  0.779  0.334  0.000   1.01   0.00   0.00      0      0     88.6   0.00   0.00   0.86   3.08   4.00   4.00   4.00   3.83   3.98   0.00   0.00   0.00   0.00      0      0      0       0     295
 1970 357   129    69   18.0      3   2.12   2486   1801      0   2747   4286      0    0.0  0.000      0      0  0.734  0.823  0.332  0.000   1.00   0.00   0.00      0      0     85.4   0.00   0.00   0.87   3.07   4.00   4.00   4.00   3.85   3.99   0.00   0.00   0.00   0.00      0      0      0       0     309
 1970 358   130    70   18.0      3   2.06   2500   1849      0   2753   4349      0    0.0  0.000      0      0  0.773  0.849  0.330  0.000   0.99   0.00   0.00      0      0     82.2   0.00   0.00   0.88   3.14   4.00   4.00   4.00   3.87   3.99   0.00   0.00   0.00   0.00      0      0      0       0     322
 1970 359   131    71   18.0      4   1.99   2473   1587      0   2753   4486      0    0.0  0.000    426      0  0.390  0.594  0.321  0.000   1.07   0.00   0.10      0    426     80.7   0.00   0.00   0.89   3.18   4.00   4.00   4.00   3.87   3.98   0.00   0.00   0.00   0.00      0      0      0       0     336
 1970 360   132    72   18.0      4   1.93   2442   1618      0   2751   4562      0    0.0  0.000    502      0  0.590  0.727  0.313  0.000   1.08   0.00   0.11      0    502     79.2   0.00   0.00   0.90   3.22   4.00   4.00   4.00   3.87   3.97   0.00   0.00   0.00   0.00      0      0      0       0     350
 1970 361   133    73   18.0      4   1.89   2410   1652      0   2742   4652      0    0.0  0.000    589      0  0.000  0.000  0.196  0.000   1.08   0.00   0.13      0    589     78.3   0.00   0.00   0.91   3.23   4.00   3.99   3.99   3.85   3.96   0.00   0.00   0.00   0.00      0      0      0       0     364
 1970 362   134    74   18.0      4   1.84   2377   1689      0   2795   4748      0    0.0  0.000    682      0  0.000  0.000  0.190  0.000   1.09   0.00   0.14      0    682     77.5   0.00   0.00   0.92   3.47   4.00   4.00   4.00   3.93   3.99   0.06   0.00   0.00   0.00      0      0      0       0     377
 1970 363   135    75   18.0      4   1.80   2341   1726      0   2883   4839      0    0.0  0.000    772      0  0.000  0.000  0.183  0.000   1.10   0.00   0.16      0    772     76.9   0.00   0.00   0.93   3.84   4.00   4.00   4.00   4.00   4.00   0.16   0.00   0.00   0.00      0      0      0       0     391
 1970 364   136    76   18.0      4   1.76   2305   1766      0   2970   4942      0    0.0  0.000    872      0  0.000  0.000  0.174  0.000   1.12   0.00   0.18      0    872     76.4   0.00   0.00   0.94   4.00   4.00   4.00   4.00   4.00   4.00   0.29   0.00   0.00   0.00      0      0      0       0     406
 1970 365   137    77   18.0      4   1.72   2266   1802      0   2990   5030      0    0.0  0.000    962      0  0.000  0.000  0.165  0.000   1.13   0.00   0.19      0    962     76.1   0.00   0.00   0.95   4.00   4.00   4.00   4.00   4.00   4.00   0.33   0.00   0.00   0.00      0      0      0       0     421
